ID,名称,年代,规格,简介,图片url
13,纳西族东巴铁佛冠,近代,长24.2，宽15.5 厘米,东巴教是云南省纳西族的一种原始宗教，信仰万物有灵，其祭祀叫“东巴”，意译为智者。纳西族每当举行祭神、消灾、除秽等法事道场时，东巴都要带此佛冠，借以增加镇魔压邪之威力。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/21：1286.png
14,么些妇女胸饰银盒,近代,通高4.3，纵10.6，横9.1 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/21：1287.png
15,东晋龙凤玉佩,东晋,长5.7，宽4.5，厚0.5  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/10/14\0：895-A-01.JPG
16,明顾二娘端石砚,明,纵14，横14，高1.9 厘米,"作者：顾二娘。形态特征:整块椭圆端石雕琢而成，质润腻，四周沿边琢出微卷荷边，反面雕刻叶脉纹，并在自然凹处落作者款,阳刻篆书“二娘”二字。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-0：924-A-1.jpg
17,清白玉通天灵芝如意,清,长41.5 厘米,整块白玉雕琢成如意，柄上通体雕刻灵芝纹，柄有弯曲弧度，如意头面上福寿常庆纹，玉光洁滋润。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-0：1035-A-1.jpg
18,清高宗纪绩嘉诚青玉册,清乾隆丁巳（1737年）,玉板：长22.6，宽10.3，厚0.5；玉册：上长25.4，下宽13.2，底长27.3，底宽15.1，通高15.4 厘米,长方形薄叶片共十页，二面均刻行书并填金彩，底页落有年款。内容记述镇压少数民族“叛乱”事迹。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-0：1054／1—10-A-1.jpg
19,明石雕佛像,明代,佛像：高5.1，底座：长4.2，宽2.8 厘米,形态特征：藏传佛教器物，裸体，束发披肩，有九条蛇盘绕在佛的发髻、额头、臂腕、脚腕和胸前。右手托莲宝，左手抓一鼠，鼠口中不断地吐出珍宝，双腿半蹬，脚下踏一穿长衣留卷发者，平身直卧，右手握伞，左手拿瓶，下为椭圆形莲花座。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-0：1368-A-1.jpg
20,明雕夔龙双贯耳玉瓶,明,高18.7，口径3.5，底径4.7 厘米,形态特征：瓶为椭圆形，直口、矮圈、足外撇，双贯耳，通体浅刻纹饰，有雷纹、蕉叶纹、弦纹龙纹及间隔大小仰莲纹等。从肩到下腹部用雷纹衬地，在贯耳及腹部雕刻卧爬状夔龙纹。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-0：1369-A-1.jpg
21,无标题,无年代,无尺寸,无简介,无图片
22,清初翡翠菱,清初,横长5.6 厘米,雕刻成一只老菱形，二端圆角弯弯，正中心有一对钻圆孔。线条凹凸分明，立体感较强，形象逼真。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-0：2165-A-1.jpg
23,新石器时代六孔石刀,新石器时代,长49.6，宽14.3 厘米,呈扁薄长条形，平背双面刃，靠背横钻六孔及一个不透小圆孔，前宽后窄，系虎皮水波纹页岩。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-0：2629-A-1.jpg
24,东汉“曾母投杼”纺织图画像石刻,东汉,画面宽160，高91 厘米,1970年冬泗洪县曹庄公社向阳大队画像石室墓内出土，墓已被破坏，1974年4月运院。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-0：4848-A-1.jpg
25,清乾隆御临王羲之青白玉帖,清乾隆,长18.9，宽8.8，厚0.4 厘米,"盒盖刻隶书：“御临王羲之帖”并填金彩。落款为“戊辰嘉平月腊日御临”并刻篆书阴文“乾隆宸翰”，阳文""几暇临池""。戊辰为乾隆十三年即公元1748年。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-0：5398／1—4-D-1.jpg
26,清乾隆御笔洪范碧玉册,清乾隆（1746年）,长15.5，宽8.9，厚0.7 厘米,全册共八块。首页正面为泥金“御笔洪范”，并寿山福海和双龙纹。底页为泥金云龙和寿山福海纹。其余均刻楷书《洪范》。《洪范》为《尚书》中的一篇名，传为箕子所作。该玉册为乾隆十一年，乾隆皇帝亲临赵孟頫书《洪范》一文，并跋数语录其后。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-0：5399／1—8-A-1.jpg
27,清乾隆御笔淮源记翡翠册,清乾隆,长23.6，宽11.4，厚0.6 厘米,全册共八页。首页正面刻“御制淮源记”，楷书并填金彩。边饰为寿山福海、双云龙纹。底页寿山福海云龙纹。《淮源记》为清高宗弘历所作，乾隆五十年赐与河南巡抚毕沅，毕沅又作识读文章一篇附后，均为楷书，并填金彩。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-0：5400／1—8-A-1.jpg
28,清乾隆御制七佛塔碑记青玉册,清乾隆,高0.5，长13.8，宽10.5 厘米,全册共有青玉板六块，装裱于黄绫册页中，除首页和尾页刻填金彩龙纹外，其余均为隶书《七佛塔碑记》并描金彩。书写者为乾隆吏部左侍郎谢墉。壬字第一千三百八十四号，字皇四旧五十四号。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-0：5402-A-1.jpg
29,清嘉庆御制三江源石插屏,清嘉庆十八年（1813年）,屏身高24，宽30.5，厚2.6，木座高8，宽33.5，厚7.5 厘米,"造型为石碑形,碑额刻“御制”篆书阴文并填金彩。边廓双云龙纹,碑文一面刻隶书,八十七字诗文，另一面为《三江源》。1994年经朱家譖鉴定为端石,楠木(内镶杉木)座。木座刻云龙纹。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-0：5403-A-1.jpg
30,新石器时代划纹小陶罐,新石器时代,高11.5， 口径 8.9 厘米,"黑衣布胎，壁薄质白，侈口直径,葫芦形腹。圈足，口沿上有一对小孔颈，腹用金黄、棕红两色绘两道弦纹，间绞丝纹图案，所绘原料鉴定为生漆，造型精美，纹饰活泼流畅。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-1：1-A-1.jpg
31,商灰陶盆,商,高17，口径32.2，底径12.6 厘米,泥质灰陶，收口，圆唇，斜收，平底。底心凸起一物，如陶祖，中空，内壁口沿下一道弦纹，下有刻划痕迹。有人认为“耤”者人认为“匋”字最初的写法。此器因为有明确的出土地点，独特的造型，盆壁上费解的文字，故极具研究价值。李济先生在1956年台北出版的《小屯》中将此列为“盖”类中，并说明949D类标本中，周壁的外表中部有与器中极清楚的摩擦痕迹。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-1：275-A-1.jpg
32,商红陶将军盔,商,高3.7，口径28，底6.5 厘米,夹砂红陶，上部为缽式，下出一实心锥形底，小平底。缽外壁印细小网格纹，锥形部位拍印细条纹。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-1：290-A-1.jpg
33,清陈鸣远作紫砂东陵壶,清,高11.2，口径3，底5 厘米,"造型作南瓜形,压盖作蒂形，上镶青田石柄、壶、小口，流为瓜叶卷成管形，单个大孔，一弯嘴，把为瓜枝残梗，上有丝纹，一捺底，腹壁刻诗，行楷。下钤印“陈鸣远篆书款”。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-1：1841-A-1.jpg
34,明永乐释迦牟尼描金佛砖,明永乐,高43，宽35.5，厚8.3 厘米,作佛龛造型，器表鎏金。释迦摩尼佛大耳垂肩，头饰螺发，结珈趺坐于双层仰复莲花座上，左手施与愿印，右手作触地印，身披袈裟，袒右肩。砖左旁有刻字及匠名。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-1：2053-A-1.jpg
35,唐三彩骆驼,唐,高93 厘米,"骆驼仰首张嘴，两驼峰一左一右翘，尾巴卷曲，腹中空，立于一平板上，身黄釉，长脖与大腿处拉毛不平，着褐彩似肌肉、鬃毛，背上铺一鞍垫,饰白。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-1：2614-C-1.jpg
36,明笋形陶水盛,明,长18，宽5.5 厘米,作冬笋形，上部开一不规则形小口，笋形逼真，笋的叶茎、虫斑、虫洞、笋根部的凸乳钉及切面的微孔皆刻划的唯妙唯肖。下配黄杨木叶形座一只，亦十分精巧。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-1：2618-A-1.jpg
37,清末紫砂提篮竹节壶,清末,通高15.3，口纵7.5，横6.7，底纵10.2，横9.6 厘米,竹段式，微带椭圆，盖面雕竹枝，把的作双根竹绞成状，壶底有阳文“陈荫千制”方印。作者：陈荫千。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-1：2949-A-1.jpg
38,清紫砂水仙花瓣形壶,清（道光至咸丰）,通高13，口径5.9，底径6.5 厘米,通体水仙式，六瓣收缩成口，与盖文吻合紧密，蕾为的，底凹，有阳文“殷尚”方印。作者：殷尚。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-1：2953-A-1.jpg
39,清道光紫砂“八卦星象”纹竹段壶,清道光,通高8.5，口径9.6，底径10.6 厘米,天青色，盖、底八卦星象纹，壶身竹连纹，腰围竹节纹，嘴、把叠雕龙头文，盖面微隆，阳文八卦纹，盖紐面饰双鱼太极纹，一只鱼眼实孔，另一只不通，把、嘴皆为螭龙首造型。加底四只宽扁足，高6公分，由腹部竹枝延伸下来，与腹浑为一体，底部有“邵大亨制壶”款。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-1：2959-A-1.jpg
40,清末无锡泥塑戏剧人物,清末,通高17.5 厘米,戏文：“剪发”“卖发”赵五娘(正旦)张广才(老生)赵五娘头，黑帕，着黑衣白裙，腰系白裙带，手执一缕黑发(黑丝棉)。男子张太公白须垂胸，着肉红色直裰，腰系粉红裙带，脚蹬靴，手提一只小筐，戏文表现昆剧。《琵琶记.卖发》场景，赵五娘为公公剪发卖钱，但无人买发，张太公帮助她，送以布帛钱米，她请张收下长发。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-1：2990-A-1.jpg
41,明洪武十年白陶南京城砖,明洪武十年,长41，宽19.8，厚11.4 厘米,扁长方形，采用优质白陶烧，一侧面压印地方、烧匠、年款等阳文楷书。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-1：3517-A-1.jpg
42,清半球形紫砂壶,清（乾隆至道光）,通高7，宽19，腹径13，口径6.1，底径11.8 厘米,覆钵式，平底微圈足，口平，盖有桥形繫单孔，管口弯嘴，圆把弧腹，色似古铜，光泽似镜，盖内中心有“彭年”方印，底心有“陈曼生制”方印。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-1：3675-A-1.jpg
43,新石器时代良渚文化黑皮陶漆绘筩子杯,新石器时代良渚文化,口径6，腹深9.2，底径5.3，高10.3 厘米,泥质细砂灰陶桶，敛口圆通形，深腹。腹壁微弧收、平底、实足，外表通体髹黑漆，黑漆上画褐彩漆，下腹部画有绳纹一周。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-1：3825-A-1.jpg
44,唐青釉莲花双鼻带把瓷壶,唐,高42.7，口径9.2，腹径16.5 厘米,灰色瓷胎，淡蟹壳青釉，釉质薄亮有细短面片纹。圆唇盘口，自盘口折棱至壶肩，颈部上下两端作喇叭口状侈张，中腰略敛，丰肩，中腰以下壶壁陡直，微斜及底，平砂底，中心向内凹陷，其上见支烧窑托印痕。肩际前方有捏塑鸡头壶嘴，后方有捏塑龙形壶把，龙头俯衔盘口边沿，龙颈稍稍上升后又圆折龙身下降迄于壶肩，阴线浅刻暗花仰莲八片环绕腹壁一周。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：179-C-1.png
45,宋青釉划花双龙鼻瓷瓶,宋,高23，口径6.3，肩宽8.6，足径6.5 厘米,大口外侈，细长颈，颈周有龙绕，龙与颈间有两鼻分左右，身自肩至底似直筒形，惟肚微向外，纹饰为三部。釉为黄色，有水裂，底圈足无釉。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：350-A-1.png
46,宋青釉五嘴带盖瓷壶,宋,通高24，口径7，底径7，盖径9.7，壶高19.6 厘米,腹部一圈有“右白虎太阴星君之所属”，火唇上卷，罐短颈，接二道圆弧棱，腹上部向外斜支出五管，长圆腹，圈足外撇。盖面刻莲瓣纹，腹部刻二组四道弦纹，弦纹之间刻十字。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：372-A-1.png
47,宋白釉黑花瓷枕,宋,长29.8，宽17.3，高13.4 厘米,“凎源王家造”。灰色胎，上白色釉，上面及前后左右四面各画黑色花纹，后面一角并有黑色所写“凎源王家造”五字，后面近中线上部有一圆孔。枕作长方形，呈梯形，上面出檐，后面上部有小孔，白地黑花，五面纹饰皆开光，上面绘一童子扛一柄荷叶，童子大头额前一撮刘海，戴肚兜，外衣系于腰，后面跟随一雁，四面开光皆绘一朵花，背面一侧黑书五字，砂底。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：405-A-1.png
48,北宋磁州窑碗,北宋,高9.2，口径20.6，底径11.7 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：579-D-1.png
49,宋天青釉鼓钉三足瓷洗,宋,高6.9，宽18，口径17.8，底径13.6 厘米,大口缘外并近底皆有鼓钉，三足，底凹刻六字钧窑。圆扁鼓形，上口较丰下部微剥，口沿有鼓钉17个，介二道弦纹中间近足处，亦有同样鼓钉15个，分布匀称，下附三足呈如意状。胎质灰白色，底部虽同涂天青色釉，但部分变成芝麻酱色，器身施天青釉有盘曲蜿蜒的蚯蚓走泥纹。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：776-A-1.png
50,青花云龙纹扁瓶,扁瓶用的是“苏麻离青”料。这种进口青料的特点是发色浓重，因其属于低锰高铁类钴料，烧造时会自然形成铁质黑斑，俗称“铁锈斑”。铁锈斑原为瑕疵，但今人认为这样的缺陷也是一种美，且与青花相映成趣。,高45.8，口径8，腹宽35.5，足径10*15 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/06/16/159229678219118景德镇官窑青花云龙纹瓷扁瓶  明永乐.png
51,无标题,无年代,无尺寸,无简介,无图片
52,明万历白地青花活环瓷瓶,明万历,高37.5，腹大14.25，径14.5，底径9.5 厘米,长颈撇口，大腹细腰，足缘外撇，底平露胎，颈中相对曲带形耳且套环。全部白地青花上横书“大明万历年制”楷款。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：824-A-1.png
53,明青釉带把瓷执壶,明,高32，口径8.4，腹深29.3 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：884-D-1.png
54,宋白釉黑花瓷镜盒,无年代,高12.2，口径21.5，底径8.5 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：951-A-1.png
55,明万历白地青花长方瓷盒,明万历,长20，宽12.5，高8.6 厘米,全形为长方形，四角为纯角，分上下两部，上为盖，下为底，底占全形二分之一强，底为长方圈足，全形内外均有白釉，上下两半接拢处无釉露白为红瓷骨，顶面蓝花龙纹，及菱纹，四边为树枝与飞鸟，下半边为飞鸟与树枝，圈足亦有纹，底有“大明万历年制”六字。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：952-A-1.png
56,明白地印花提梁瓷花囊,明,带链高38.4，口径14.4，底径7.4 厘米,全部白釉，外壁卷鬚凸印纹，颈短略小，器缘成圈形且向外侈，腰小于沿部，沿上有相对双耳，且带瓷链，腹中空，附铜胆。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：953-A-1.png
57,明宣德白地青云龙瓷钵,明宣德,高12.5，口径27，底径12.5 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：954-A-1.png
58,明青釉开片瓷渣斗,明,高12.5，宽12.3 厘米,撇口，腹鼓，底足外哆，铜镶口，哥窑。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：961-D-1.png
59,明宣德白地青花瓷大碗,明宣德,口径29.8，底径12.5，高10.8 厘米,盛食物或液体的饮料用。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：983-A-1.png
60,明正德白地青花加彩云龙瓷碗,明正德,高9.6，口径16.8，底径6.4 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：1002-A-1.png
61,无标题,无年代,无尺寸,无简介,无图片
62,明永乐白地青荔子花瓷大盘,明永乐,高7.1，口径38.5，底径28 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：1038-A-1.png
63,清雍正官窑青花缠枝莲八吉祥纹瓷尊,清雍正,口径24，底径24.5，腹深52，高54.5 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：1121-A-1.png
64,清雍正官窑青花云龙纹瓷瓶,清雍正,口径19.7，底径28，腹深55，高58.5 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：1122-A-1.png
65,清乾隆霁蓝镂空转心瓷大瓶,清乾隆,高60.5，口径20，腹深52 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：1128-A-2.png
66,清乾隆白地五彩百鹿瓷尊,清乾隆,"高45.3，口径16.3，底径24.4, 腹深42.6  厘米",无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：1137-A-1.png
67,清雍正钧釉双耳出戟瓷尊,清雍正,高33.4，口径11.7，底径13.4 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：1173-B-1.png
68,清雍正炉钧釉九弦三鼻瓷瓶,清雍正,高22.6，口径5.3，底径8.5 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：1340-D-1.png
69,清康熙官窑五彩花鸟纹瓷花盆,清康熙,口径59.9，足径39.5，高34.5，最大股围14.2 厘米,撇口折边，沙底，宽足，釉中含有较大的釉皮纹，色彩瑰丽缤纷。盆周身用姹紫，嫣红，苍翠，淡绿，嫩黄，白青等颜色，在白釉上画了一幅“仙芝祝寿”图，内有苍松，翠竹，仙灵芝，绶带鸟。折边上绘有苍松几棵，翠竹几枝，蟠桃四枚，绕成装饰一周。内壁施三分之一白釉。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：1480-A-1.png
70,南宋龙泉窑青釉鬲式瓷壶,南宋,口径15，高12.7 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：1499-D-1.png
71,清白地红蓝花高足瓷碗,清,口径15.7，底径4.2，高14 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：1575-D-1.png
72,无标题,无年代,无尺寸,无简介,无图片
73,清乾隆胭脂红釉珐琅彩西莲花瓷碗,清乾隆,高4.4，口径11.9，底径5.8 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：2328-A-1.png
74,无标题,无年代,无尺寸,无简介,无图片
75,无标题,无年代,无尺寸,无简介,无图片
76,无标题,无年代,无尺寸,无简介,无图片
77,无标题,无年代,无尺寸,无简介,无图片
78,无标题,无年代,无尺寸,无简介,无图片
79,无标题,无年代,无尺寸,无简介,无图片
80,无标题,无年代,无尺寸,无简介,无图片
81,无标题,无年代,无尺寸,无简介,无图片
82,无标题,无年代,无尺寸,无简介,无图片
83,无标题,无年代,无尺寸,无简介,无图片
84,无标题,无年代,无尺寸,无简介,无图片
85,无标题,无年代,无尺寸,无简介,无图片
86,无标题,无年代,无尺寸,无简介,无图片
87,清康熙黄地三彩双龙瓷大盘,清康熙,高7，口径40.7，底径26 厘米,瓷盘为折沿盘，盘内底心，绘两条龙纹，四周饰牡丹、桃花、梅花、茶花、菊花、秋葵、莲花、月季等八种折枝花卉。折沿表面和外壁上均绘有6条赶珠龙。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：3661-C-1.png
88,宋影青印花瓷枕,宋,长18.4，宽11，高12.4 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：3966-A-1.png
89,明正统青釉印花带盖瓷罐,明正统,口径8.8，底径7.7，盖径12.1，通高9.7 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：3978-C-2.png
90,明正统青花带盖瓷罐,明正统,口径11.4，底径6.9，高14.2 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：3986-A-1.png
91,明正统青花带盖瓷罐,明正统,口径7，底径7.2，高13.9 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：3987-A-1.png
92,明正统青花带盖瓷罐,明正统,高14，径11.7 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：3988-A-1.png
93,明正统青花带盖瓷罐,明正统,高13.3，口径9.8，底径6.8 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：3989-A-1.png
94,明正统青花带盖瓷罐,明正统,口径9.8，高13.4，底径6.8 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：3990-A-1.png
95,明正统青花孔雀牡丹带盖瓷梅瓶,明正统,口径5.5，连盖高40，底径11.3 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：4148-A-1.png
96,明宣德青花一把莲瓷盘,明宣德,口径31.3，足径22.9，高5.4 厘米,盘大足尺，砂底，侈口圈足，本件用苏麻离青着色，盘心画一莲花，画折枝花卉，上下有带纹边饰。用途：食具。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：4770-A-1.png
97,明弘治青花风景瓷暖碗,明弘治（1488年-1505年）,口径15.2，足径5.15，高8.1 厘米,暖碗侈口圆唇，浅腹圈足器底开口，作灌水用。白釉青花，器外绘一幅风景画，碗心画四只瑞兽。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：5378-D-1.png
98,宋白地赭色菱形花瓷长枕,宋（960年-1279年）,长45.8，宽12.2，高11.8 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：5433-D-1.png
99,明隆庆黄地青花云龙瓷浅碗,明隆庆（1567年-1572年）,口径14.3，足径6.7，高4.9 厘米,碗的口微侈，釜底线足。用国产青料绘画云龙宝珠图，烧成加填黄釉。内壁围檐素白，口沿饰青花双线，碗心为青花立龙，外环双圈。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：5451-A-1.png
100,金牙黄釉残瓷瓶,金皇统元年三月二十二日（公元1141年）,足径18.5，足深11.2，高36.8，腹围65 厘米,残瓶略似塔瓶式样，皤腹，有座式高圈足。体态凝重，胎质粗糙，色呈黄白，敷以化妆土。外施牙黄色釉，周身素白无纹饰。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：5765-A-1.png
101,西晋青瓷盥盆,西晋,口径32.8，腹深7.7，高9.6，底径7.1 厘米,折沿内划花外印花。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：5909-D-1.png
102,明宣德白地青花缠枝莲瓷盘,明宣德,口径39，足径28.5，高7.2 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：5959-A-1.png
103,青瓷熊尊,西晋,高8，底7.2×6.3，孔径1.5 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：5960-A-1.png
104,春秋青釉陶簋,春秋,高7.5，口径23.6，腹径25.2，足径22 厘米,子口，鼓腹下部腹渐收，矮圈足，平底，腹饰对称附耳，腹周鸟状锥刺纹，三圈，内地周有弦纹，附四个双耳盖罐，盖顶鸟形，绿黄色釉。,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6157／1—2-D-1.png
105,景德镇官窑青花寿山福海纹瓷香炉,明,高58.5，口径38 厘米,造型为青铜鼎样式，盘口，方唇，束颈，圆腹，小平底。纹样以苏麻离青料绘蓝地白花寿山福海纹，青花发色浓重。,https://www.njmuseum.com/files/nb/collection/modify/2019/11/08\2：6342.png
106,明嘉靖青花缠枝双凤穿花大盘,明嘉靖,口径73，底51，高6.4 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6375-A-1.png
107,明嘉靖青花云龙纹瓷大盘,明嘉靖,高9 ， 口径73.3， 底径49.3 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-2：6384-A-1.png
