名称,年代,规格,简介,图片url
-【唐～五代】碧纸金书《妙法莲华经》-,唐~五代,纵27～27.6厘米 总横长951～1215.5厘米,"此经书是1978年于苏州瑞光寺塔第三层塔心的天宫中发现的。系用极细的竹丝编织成经帙包裹,然后存放在黑漆嵌螺钿经箱中。经书共七卷，在碧纸（磁青纸）上用泥金书写，卷轴装。这种碧纸金书为唐、五代时期所特有，其书体充分体现了唐人小楷浑穆秀丽的风格。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205160019NqllBf.jpg
-【宋】残石造像（3 件）-,宋,通高31.5厘米,"1956年在苏州虎丘云岩寺塔第五层发现。佛弟子或供养人造像。两件造型相同，发现时即无头，颈部有断茬。着交领广袖长袍,拱握双手,以两臂捧经卷于胸前,恭立于方形台座之上。一件双手合于胸前，持如意。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205154741mkLT1G.jpg
-【宋】铜一佛二菩萨像-,宋,宽13.3厘米 高19.2厘米,"1956年在苏州虎丘云岩寺塔第三层发现。底座呈覆盅状，上接三个枝形藕生仰莲座,佛结跏趺坐于中间莲座上,两侧莲座上为立相菩萨。造型轻巧优美、疏朗明快。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205154036R8bMFp.jpg
-【宋】彩绘描金泥质观音立像（2尊）-,宋,高约38厘米,"1978年在瑞光寺塔第三层塔心的天宫中发现。泥质合模制成,均为立式,双手交垂于腹前,外表彩绘,璎珞等处描金,一尊为双目凝视，另一尊两眼微闭，体态端庄，面部丰满，慈爱可亲。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205160955oHWmM3.jpg
-【宋】铜小金涂塔-,宋,残高32.5厘米,"1978年在瑞光寺塔第三层塔心的天宫中发现,由须弥座、塔身、蕉叶形插角、塔刹等部分组成。须弥座每面设三个壸门,塔身四面及插角处雕刻佛本生故事。塔刹五重相轮有残。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205161658JJvl67.jpg
-【宋】木经箱-,宋,长 32.7 厘米 宽14.7厘米 高14厘米,"1978年在瑞光寺塔第三层塔心的天宫中发现。木质，平面长方形，盝顶。系由十四块小板材榫接而成,外表髹红褐色漆，无纹饰。",https://file.szmuseum.com/WaterMark/文章管理缩略图/202102051618455X6gD0.jpg
-【宋】琥珀印章-,宋,高1.8厘米,1978 年在瑞光寺塔第三层塔心的天宫中发现。龟纽，篆体“与贞私印”四字。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205161434eGl4HT.jpg
-【宋】铁铸金涂舍利塔-,宋,塔座边长11厘米 通高11.8厘米,1956年在苏州虎丘云岩寺塔第三层发现。分塔刹相轮、塔身、塔座三部分，其中顶部相轮已朽。塔身翘角多毁坏。塔身中空，内置高2.9厘米、腹径7厘米的金铸小瓶，瓶口有盖，口中塞着纸圈，瓶中盛细砂粒大小的舍利子。该金瓶现藏虎丘塔中。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205153603qC3F3r.jpg
-【宋】陶碗形香炉-,宋,口径14.5厘米 底径8.2厘米 高11.7厘米,1956年在苏州虎丘云岩寺塔第三层发现。炉中竖立檀香木1根，长29.7厘米，直径1.1厘米。,https://file.szmuseum.com/WaterMark/文章管理缩略图/202102051551411KaeEn.jpg
-【晚唐～五代】檀香木雕三连式佛龛（檀龛宝相）-,晚唐~五代,宽6.3厘米 通高19.3厘米,"1956年在苏州虎丘云岩寺塔第三层发现。檀香木质，枯朽较甚，原涂色彩已褪，残留描金痕迹。下为束腰须弥式莲座,上承三连式佛龛,分为主龛和扉龛,半圆形的主龛与莲座通体相连，三角形的扉龛与主龛的边缘，上下各钻有小孔，穿绳系结，玲珑剔透，可启可合。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205154619bDYt3y.jpg
-【宋】石造像龛-,宋,高24厘米,"1956年在苏州虎丘云岩寺塔第四层发现。石龛右侧残损，龛内浮雕佛像一尊,结跏趺坐于仰莲座上。龛左侧边框上阴刻有“李太缘为自身造佛一躯”的题记。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205154901NFHwGD.jpg
-【宋】铜观音坐像（2尊）-,宋,高40.5 厘米 43.5 厘米,1978 年瑞光寺塔第三层塔心的天宫中发现。两尊皆趺坐于束腰莲花台座上。身后有火焰纹饰的背光和头光，外围火焰纹的上方有江牙纹饰顶着的一轮太阳，意为“旭日东升”。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205160153QGjOGI.jpg
-【宋】铁莲瓣形佛龛-,宋,宽11.5厘米高17厘米,1956 年在苏州虎丘云岩寺塔第三层发现。铁质，模铸而成，龛呈内凹莲瓣形，顶部及底座铸须弥宝山纹样，龛内铸佛像一铺，姿态优美，人物众多。但因锈蚀，图案、形象均比较模糊。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205154156QD8lOA.jpg
-【宋】小玉幢-,宋,底径1.4 厘米 高2.8厘米,"1956年在苏州虎丘云岩寺塔第三层发现。玉质不甚佳,微泛黄，推测原置于小木塔壸门之内。",https://file.szmuseum.com/WaterMark/文章管理缩略图/202102051538412xbLV0.jpg
-【宋】小木塔-,宋,高10.3厘米,"1978 年在瑞光寺塔第三层塔心的天宫中发现。木质，喇嘛塔造型，由塔座、塔身和塔刹三部分组成。塔座底部呈覆钵形,涂红漆,上部涂绿漆。红色塔身设一壸门。塔刹相轮七重,其中第四相轮为红色，其余为绿色，刹顶呈红色宝珠状。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205161217cOetWZ.jpg
-【唐～五代】碧纸金书《妙法莲华经》-,唐~五代,纵27～27.6厘米 总横长951～1215.5厘米,"此经书是1978年于苏州瑞光寺塔第三层塔心的天宫中发现的。系用极细的竹丝编织成经帙包裹,然后存放在黑漆嵌螺钿经箱中。经书共七卷，在碧纸（磁青纸）上用泥金书写，卷轴装。这种碧纸金书为唐、五代时期所特有，其书体充分体现了唐人小楷浑穆秀丽的风格。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205160019NqllBf.jpg
-【宋】残石造像（3 件）-,宋,通高31.5厘米,"1956年在苏州虎丘云岩寺塔第五层发现。佛弟子或供养人造像。两件造型相同，发现时即无头，颈部有断茬。着交领广袖长袍,拱握双手,以两臂捧经卷于胸前,恭立于方形台座之上。一件双手合于胸前，持如意。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205154741mkLT1G.jpg
-【宋】铜一佛二菩萨像-,宋,宽13.3厘米 高19.2厘米,"1956年在苏州虎丘云岩寺塔第三层发现。底座呈覆盅状，上接三个枝形藕生仰莲座,佛结跏趺坐于中间莲座上,两侧莲座上为立相菩萨。造型轻巧优美、疏朗明快。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205154036R8bMFp.jpg
-【宋】彩绘描金泥质观音立像（2尊）-,宋,高约38厘米,"1978年在瑞光寺塔第三层塔心的天宫中发现。泥质合模制成,均为立式,双手交垂于腹前,外表彩绘,璎珞等处描金,一尊为双目凝视，另一尊两眼微闭，体态端庄，面部丰满，慈爱可亲。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205160955oHWmM3.jpg
-【宋】铜小金涂塔-,宋,残高32.5厘米,"1978年在瑞光寺塔第三层塔心的天宫中发现,由须弥座、塔身、蕉叶形插角、塔刹等部分组成。须弥座每面设三个壸门,塔身四面及插角处雕刻佛本生故事。塔刹五重相轮有残。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205161658JJvl67.jpg
-【宋】铁函-,宋,底板边长20.1厘米 下函口边长19.1厘米 盝顶边长10厘米 通高 34.2厘米,"1956年在苏州虎丘云岩寺塔第三层发现。平面方形，由底板、梯形函罩组成，下广上狭，盝顶。函罩和底板相连处，每面用两根铜丝拴住。罩上放有绢袱一块，已残破,并泛作铁锈色。函间有一块外方内圆的构件，是另外嵌进去的。铁函原置于五节石函内。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205153436xMCYnd.jpg
-【宋】小木塔-,宋,底径 4 厘米 高10厘米,1956 年在苏州虎丘云岩寺塔第三层发现。原置于铁铸金涂舍利塔盝顶残绢袱之上。状如喇嘛塔，外涂黑漆，以红漆勾画出塔座、壸门、相轮等边廓。,https://file.szmuseum.com/WaterMark/文章管理缩略图/202102051537107FwBvn.jpg
-【宋】真珠舍利宝幢-,宋,通高122.6厘米,1978年4月12日，三个顽童登上岌岌可危的瑞光古塔掏鸟蛋时，在宝塔的第三层意外发现了一个封存已久的宝藏，宝幢即是其中之一。宝幢置于两重木函之中，黑色外木函的正面立墙上有两排白漆楷书：“瑞光院第三层塔内真珠舍利宝幢”。宝幢的主体用楠木构成，分须弥座、佛宫、刹三个部分。须弥座呈八边形，下有双层方涩，向上弧状收束。中间分置银狮、半圆雕供养人及木狮。须弥座上周置勾栏，内作大海，须弥山从中耸起，一条满身缀珠的九头龙在山与海之间盘旋。海面升起八朵木制祥云，云头分别站木雕四天王、四天女。佛宫在须弥山的顶端，宫外有八大护法天神守卫。宫中为碧地金书八角经幢，分别以真、草、隶、篆书阴刻填金七佛之名，及梵语“南无摩诃般若波罗密”，意即“大智慧可达彼岸乐土”。 经幢中间是一只用来供奉舍利子的浅清色葫芦形瓷瓶及两张雕版印《大隋求陀罗尼》。幢顶的佛龛内置一尊木雕趺坐佛祖像。佛宫外有八根殿柱，柱上承八角形斗拱梁房殿顶及戗角。殿顶又设漆龛，内盛金质宝瓶。华龛上罩一八角形金银丝串珠华盖，盖上有鎏金银丝编小龙八条。 华盖上部为刹，以白玉、水晶及金银制成。八条银链从刹上垂下并与华盖八角相连。刹顶是一颗直径为3.4厘米的大水晶球，球两侧用银丝缠绕，金光闪闪，意示“佛光普照”。 真珠舍利宝幢，选材名贵，构思独特，造型优美，综合了当时木雕、描金、玉雕、穿珠以及金银细工等专业技术，整个宝幢共用珍珠四万余颗，凝聚了当时能工巧匠的智慧与心血，是一件珍贵的宗教艺术品。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205145148rXu2H1.jpg
-【宋】五节石函-,宋,顶部边长22.5厘米 底部边长27厘米 通高44.1厘米,1956年在苏州虎丘云岩寺塔第三层发现。石函平面方形，下广上狭，分五节叠落而成，无雕刻，内原置铁函。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205151347NAGpX7.jpg
-【宋】铜十一面观音-,宋,高23.5厘米,两尊十一面观音像大体相同。观音像立于束腰莲花台上，一脚向侧前略伸，身穿天衣，一条飘带轻轻搭在右手上，左手持一宝瓶。全身配有璎珞、耳珰、颈饰、胸饰、臂钏、腕钏等各种珠宝佩带装饰，一条珠链从项颈处斜长至足背。身式略呈“S”形，姿态优美。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205150927tQmW5b.jpg
-【宋】针刺佛像铜镜-,宋,直径16.2厘米,"针刺佛像,有“曹庶昇舍入塔”六字。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205151131dnEc8u.jpg
-【宋】浮雕佛像石函-,宋,长46厘米 宽26.5厘米 高25厘米,1956年在苏州虎丘云岩寺塔第二层发现。系有六块裁好的砚石板榫合而成，平面长方形，盝顶，函身每面浮雕佛像五尊，底部四周刻如意云纹花边，函盖内面涂成漆地。石函内原置鎏金镂花包边楠木经箱。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205151246uUjT5J.jpg
-【宋】铜地藏菩萨坐像-,宋,通高21厘米,铜地藏菩萨坐像发现于瑞光寺塔第三层塔心的天宫中。其貌似沉寂端庄，阔额长耳，表情慈悲，身披袈裟，衣纹流畅。半跏坐于长方形座上，左足下踏着莲花台。右手持一宝珠，左手置于膝上。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205151559WQJVFk.jpg
-刹柱-,-刹柱-, ,真珠舍利宝幢上部结构性部件之一。立于华盖之上_，高24.6匣米。主体呈柱状，由银棒和包金箔木柱相接而成，刹轮以白玉、水晶、五色珠料等制成，间以金银绞花、叶片及银丝,https://file.szmuseum.com/WaterMark/文章管理缩略图/20150615044952bBrcNz.jpg
-【宋】鎏金镂花包边楠木经箱-,宋,束腰长37.8厘米 宽19.2厘米 高21厘米,楠木制作。箱底垫有丝织物，外涂器，各部边缘和接缝处都镶包银质鎏金花边，极为工细。这只经箱大体完整，镂金工艺精妙，箱上记载制作艺人姓氏更属可贵。1956年于苏州虎丘云岩寺塔发现，现藏苏州博物馆。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205150746GMICNl.jpg
-【宋】铜佛坐像-,宋,高19．2厘米,1956年在苏州虎丘云岩寺塔第三层发现。螺髻，双耳垂肩，身着袒右袈裟，结跏趺坐于圆形蒲团座上，背而出一环纽，未见背光。,https://file.szmuseum.com/WaterMark/文章管理缩略图/2015061504505002li3c.jpg
-【宋】盛真珠舍利宝幢内木函-,宋,宽42.5厘米  高123厘米,1978年发现于苏州瑞光寺塔第三层天宫，真珠舍利宝幢就安置在这只内木函之中。内木函用银杏木制成，为五节正方形套叠式。在它内壁书有“大中祥符六年(1013年)四月十八日记”字样，外壁画有彩绘四天王像，为罕见的宋画精品。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205150355ojU0ww.jpg
-【宋】雕版印刷《妙法莲华经》-,宋,纵16.9～l7.1厘米  每卷长51.5～55.5厘米  通长277～339厘米,1978年在瑞光寺塔第三层塔心砖龛天宫内发现。为卷轴装，原七卷，其中第六卷被毁。页面不设边框，字体书法端正，刻工精细，可以和开宝年间蜀刻官本相媲美。每卷引首以横长14～16厘米的碧纸为包首。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205150603vwilzG.jpg
-【宋】铜如来佛坐像-,宋,高16厘米,1978年于瑞光寺塔第三层塔心的天宫中发现。佛像皆螺发肉髻，但在雕刻处理上各不相同。形态颇为修美，肩圆臂瘦削，胸肌结实，结跏跌坐于束腰莲花台上。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210205151809C1jIuJ.jpg
-【五代】铜质大金涂塔-,五代,通高36.8厘米 塔座15厘米*15厘米,塔为四方形，可拆卸，整个塔大致可分五部分，从上到下分别为：塔刹、蕉叶形插角、塔身、铜盖及带有四面十六个罗汉像的须弥座，整个塔身雕刻系印度风格，各面刻有佛教故事，蕉叶形插角外侧共刻故事三十二则，内侧分立四大天王像。塔刹占全塔比例约三分之一，刹座为莲形覆钵，刹身有相轮五重。,https://file.szmuseum.com/WaterMark/文章管理缩略图/202102051522540wof3F.jpg
-【清】金农《香林扫塔图轴》-,清,内纵 61.5厘米 横28.8厘米,"金农（1687 －1764年)，字寿门，号冬心、司农、稽留山民、昔耶居士。“扬州八怪”之一，五十岁后方学画。善画山水、人物、花卉、梅竹，笔墨稚拙，不求形似,别具古朴风格。亦工书，精鉴赏。作品有《玉壶春色图轴》、《花果册》、《香林扫塔图轴》等。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308162219SaDiod.jpg
-【明】张宏等《八家送寇慎去官图册》(节选)-,明,内纵32.7厘米、横64.5厘米,张宏（1580－？年，一作 1577－？年），字君度，号鹤涧，吴县（今江苏苏州）人。他擅长画山水画，重视写生，笔力峭拔，墨色湿润，层峦叠嶂，丘壑深邃。画石面连皴带染是其画作的特色。写意人物，神情具视，构图疏密得宜。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308132952Xbjgjb.jpg
-【清】赵之谦 《为理卿行书七言诗轴》-,清,内纵 163.2 厘米 横 92.6 厘米,赵之谦（1829 － 1884年)，字益甫，号撝叔，浙江绍兴人。画家、书法家、篆刻家。书法初学颜真卿，后专师北碑，自成一家。花卉继承陈淳、“扬州八怪”的传统，并融合金石篆刻，笔势流动，结构新颖，是近百年来著名的书画家之一。作品有《积书岩图轴》、《古柏图轴》等。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309150147afqjCR.jpg
-【明】王穉登《行书五言诗轴》-,明,内纵 17.5 厘米 横 36.7 厘米,"王穉登（1535 －1612年)，字伯谷，江苏江阴人,寓居苏州。少有文名，善书法。嘉靖末入太学，万历时会召修国史。人言其继文徵明后，主吴中词翰之席三十余年。著有《王伯谷全集》、《吴郡丹青志》，并辑有明代散套小令《吴骚集》。 ",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309140249k0cMFa.jpg
-【明末清初】恽寿平《山水、花卉册》(节选）-,明末清初,内纵 27 厘米 横 24.1厘米,恽寿平（1633 - 1690 年)，初名格，字寿平，更字正叔，号南田、云溪外使、东园生，江苏武进人。初写山水，让王翚独步，改作花卉，色调清新，雅秀超逸，独开生面。亦工诗、书，著有《瓯香馆集》、《南田诗钞》。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308144629dxYnXG.jpg
-【明末清初】上睿《为梅作行乐图册》-,明末清初,内纵 29.4 厘米 横 38.1厘米,上睿（1634-2 年)，僧人，字浔睿，号目存，又号蒲室子、童心和尚，苏州人。山水法王翚，花鸟师恽寿平，人物得古法，有唐寅笔意。亦工境。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308145022axpiMb.jpg
-【明】徐渭《行草应制咏剑诗轴》-,明,内纵 352 厘米 横 102.6 厘米,徐渭（1521 － 1593年)，字文长，号天池、田水月，又号青藤道人，浙江绍兴人。工画写意花卉，纵横不拘绳墨。行草书仿米氏，写意奔放如其诗，苍劲中姿媚跃出，不论书法而书神，诚八法之散圣，字林之侠客也。有诗文全集，又著有《路史分释》、《古注参同契》十余种。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309135657OK5uGe.jpg
-【明】蓝瑛《松岩观瀑图轴》-,明,内纵158.7厘米、横65厘米,蓝瑛（1585－1664年，一作1585－1666年），字田叔，号蝶叟，晚号石头陀、山公、万篆阿主者、西湖研民。浙江杭州人。是浙派后期代表画家之一。工书善画，长于山水、花鸟、梅竹，尤以山水著名。其山水法宗宋元，又能自成一家。其子蓝孟，孙蓝涛、蓝青均善绘画，能承家法，在当时颇有声誉。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308133237G3boGo.jpg
-【明】张瑞图《行草五律诗轴》-,明,内纵 170.2 厘米 横 47 厘米,张瑞图（1570 — 1644 年)，字长公，号二水，又号白毫庵主，晚称果亭山人，福建晋江人。万历三十五年(1607年)进士，官至大学士，善画山水，尤工书，与邢侗、米万钟、董其昌并称“明四家”。草书气魄宏大，笔势维伟。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309141559Br09V7.jpg
-【明】文震孟《行书登麻姑山诗轴》-,明,内纵 197.8 厘米 横 42.2 厘米,文震孟（1574 － 1636年)，字文起，别号湛持，长洲(今江苏苏州)人。文徵明曾孙。年五十始中进士。性情刚正，誉满朝野。书法能袭家学，尤善古隶，书述遍天下，—时碑版署额可与文徵明相论。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309142108RbMeNE.jpg
-【明】钱穀《临流独坐图扇页》-,明,内高15.7厘米、宽47.1厘米,钱穀（1508 －1578年），字叔宝，号罄室、句吴逸民，自号罄室子，长洲（今江苏苏州）人。文徵明入室弟子。画名甚著，书、诗、文俱精妙。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308112234LtdAsI.jpg
-【明末清初】王时敏《秋山晓霁图轴》-,明末清初,内纵 172.2 厘米 橫 82.8 厘米,王时敏（1592- 1680年)，字逊之，号烟客，又号西庐老人，江苏太仓人。与王鉴、王翚、王原祁合称“四王”，偕吴历、恽寿平合称“清六家”。工诗文，善书，尤善画山水，著有《王烟客集》。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308141050b37ngT.jpg
- 【清】任薰《花鸟册》(节选）-,清,内纵 26.8厘米 横35.8厘米,"任薰（1835 - 1893年)，字舜琴，又字阜长，浙江萧山人。其父任椿、兄任熊都是画家。任薰自幼受父兄影响，喜爱绘画。少丧父,从兄学画,青年时在宁波卖画为生,1868年与任颐去苏州，后寓居苏州、上海。人物与其兄同师陈洪绶，常用高古游丝、铁线、行云流水、兰叶几种描法。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309110751locGtr.jpg
-【明末清初】王翚《山水册》-,明末清初,内纵 30 厘米 横 22.4 厘米,"王翚（1632－1717年)，字石谷，号鸟目山人、耕烟散人，江苏常熟人。王时敏、王鉴弟子。善画山水,曾奉召主绘《南巡图》而颇受康熙帝赏识。其弟子有杨晋、顾昉、蔡嘉、上睿等，世称“虞山派”。其中一开有自署“丙寅（1686年）”者，王翚时年五十五岁。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308144138Gn2rfU.jpg
-【明末清初】归庄 《行草七言诗轴》-,明末清初,内纵 64.7 厘米 横 140 厘米,"归庄（1613 － 1673 年)，字玄恭，号恒轩。入清后，更名祚明。善画竹,亦工诗、行草书。作品有《竹石图轴》等。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309143608aMLFhd.jpg
-【清】金农《香林扫塔图轴》-,清,内纵 61.5厘米 横28.8厘米,"金农（1687 －1764年)，字寿门，号冬心、司农、稽留山民、昔耶居士。“扬州八怪”之一，五十岁后方学画。善画山水、人物、花卉、梅竹，笔墨稚拙，不求形似,别具古朴风格。亦工书，精鉴赏。作品有《玉壶春色图轴》、《花果册》、《香林扫塔图轴》等。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308162219SaDiod.jpg
-【明】张宏等《八家送寇慎去官图册》(节选)-,明,内纵32.7厘米、横64.5厘米,张宏（1580－？年，一作 1577－？年），字君度，号鹤涧，吴县（今江苏苏州）人。他擅长画山水画，重视写生，笔力峭拔，墨色湿润，层峦叠嶂，丘壑深邃。画石面连皴带染是其画作的特色。写意人物，神情具视，构图疏密得宜。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308132952Xbjgjb.jpg
-【清】赵之谦 《为理卿行书七言诗轴》-,清,内纵 163.2 厘米 横 92.6 厘米,赵之谦（1829 － 1884年)，字益甫，号撝叔，浙江绍兴人。画家、书法家、篆刻家。书法初学颜真卿，后专师北碑，自成一家。花卉继承陈淳、“扬州八怪”的传统，并融合金石篆刻，笔势流动，结构新颖，是近百年来著名的书画家之一。作品有《积书岩图轴》、《古柏图轴》等。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309150147afqjCR.jpg
-【明】王穉登《行书五言诗轴》-,明,内纵 17.5 厘米 横 36.7 厘米,"王穉登（1535 －1612年)，字伯谷，江苏江阴人,寓居苏州。少有文名，善书法。嘉靖末入太学，万历时会召修国史。人言其继文徵明后，主吴中词翰之席三十余年。著有《王伯谷全集》、《吴郡丹青志》，并辑有明代散套小令《吴骚集》。 ",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309140249k0cMFa.jpg
-【明末清初】恽寿平《山水、花卉册》(节选）-,明末清初,内纵 27 厘米 横 24.1厘米,恽寿平（1633 - 1690 年)，初名格，字寿平，更字正叔，号南田、云溪外使、东园生，江苏武进人。初写山水，让王翚独步，改作花卉，色调清新，雅秀超逸，独开生面。亦工诗、书，著有《瓯香馆集》、《南田诗钞》。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308144629dxYnXG.jpg
-【明末清初】上睿《为梅作行乐图册》-,明末清初,内纵 29.4 厘米 横 38.1厘米,上睿（1634-2 年)，僧人，字浔睿，号目存，又号蒲室子、童心和尚，苏州人。山水法王翚，花鸟师恽寿平，人物得古法，有唐寅笔意。亦工境。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308145022axpiMb.jpg
-【明】徐渭《行草应制咏剑诗轴》-,明,内纵 352 厘米 横 102.6 厘米,徐渭（1521 － 1593年)，字文长，号天池、田水月，又号青藤道人，浙江绍兴人。工画写意花卉，纵横不拘绳墨。行草书仿米氏，写意奔放如其诗，苍劲中姿媚跃出，不论书法而书神，诚八法之散圣，字林之侠客也。有诗文全集，又著有《路史分释》、《古注参同契》十余种。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309135657OK5uGe.jpg
